"","gender","type","continent"
"183","F","Gatekeeper","North America"
"184","M","Gatekeeper","North America"
"185","M","Gatekeeper","North America"
"186","M","Gatekeeper","North America"
"187","M","Gatekeeper","North America"
"188","M","Gatekeeper","North America"
"189","M","Gatekeeper","North America"
"190","M","Gatekeeper","North America"
"191","M","Gatekeeper","North America"
"192","M","Gatekeeper","North America"
"193","M","Gatekeeper","North America"
"194","F","Gatekeeper","North America"
"195","M","Gatekeeper","North America"
"196","M","Gatekeeper","North America"
"197","M","Gatekeeper","North America"
"198","F","Gatekeeper","North America"
"199","M","Gatekeeper","North America"
"200","M","Gatekeeper","North America"
"201","M","Gatekeeper","North America"
"202","M","Gatekeeper","North America"
"203","M","Gatekeeper","North America"
"204","F","Gatekeeper","North America"
"205","M","Gatekeeper","North America"
"206","M","Gatekeeper","North America"
"207","F","Gatekeeper","North America"
"208","M","Gatekeeper","North America"
"209","M","Gatekeeper","North America"
"210","M","Gatekeeper","North America"
"211","M","Gatekeeper","North America"
"212","M","Gatekeeper","North America"
"213","M","Gatekeeper","North America"
"214","M","Gatekeeper","North America"
"215","F","Gatekeeper","North America"
"216","M","Gatekeeper","North America"
"217","M","Gatekeeper","North America"
"218","M","Gatekeeper","North America"
"219","M","Gatekeeper","North America"
"220","M","Gatekeeper","North America"
"221","F","Gatekeeper","North America"
"222","F","Gatekeeper","North America"
"223","F","Gatekeeper","North America"
"224","F","Gatekeeper","North America"
"225","F","Gatekeeper","North America"
"226","M","Gatekeeper","North America"
"227","F","Gatekeeper","North America"
"228","F","Gatekeeper","North America"
"229","M","Gatekeeper","North America"
"230","UNK","Gatekeeper","Europe"
"231","M","Gatekeeper","Oceania"
"232","M","Gatekeeper","Oceania"
"233","M","Gatekeeper","Europe"
"234","M","Gatekeeper","Europe"
"235","F","Gatekeeper","North America"
"236","M","Gatekeeper","Asia"
"237","M","Gatekeeper","Asia"
"238","M","Gatekeeper","Europe"
"239","M","Gatekeeper","Europe"
"240","M","Gatekeeper","Europe"
"241","M","Gatekeeper","Europe"
"242","M","Gatekeeper","Europe"
"243","M","Gatekeeper","Europe"
"244","M","Gatekeeper","Europe"
"245","M","Gatekeeper","Asia"
"246","M","Gatekeeper","Europe"
"247","F","Gatekeeper","Europe"
"248","M","Gatekeeper","Asia"
"249","M","Gatekeeper","Asia"
"250","F","Gatekeeper","Europe"
"251","M","Gatekeeper","Asia"
"252","UNK","Gatekeeper","Europe"
"253","M","Gatekeeper","Europe"
"254","M","Gatekeeper","Europe"
"255","M","Gatekeeper","Europe"
"256","F","Gatekeeper","Europe"
"257","F","Gatekeeper","Europe"
"258","M","Gatekeeper","Europe"
"259","M","Gatekeeper","Europe"
"260","M","Gatekeeper","Europe"
"261","M","Gatekeeper","Europe"
"262","M","Gatekeeper","Europe"
"263","M","Gatekeeper","North America"
"264","M","Gatekeeper","North America"
"265","M","Gatekeeper","North America"
"266","M","Gatekeeper","North America"
"267","M","Gatekeeper","North America"
"268","M","Gatekeeper","North America"
"269","M","Gatekeeper","North America"
"270","M","Gatekeeper","North America"
"271","M","Gatekeeper","North America"
"272","M","Gatekeeper","North America"
"273","F","Gatekeeper","North America"
"274","F","Gatekeeper","North America"
"275","M","Gatekeeper","North America"
"276","M","Gatekeeper","North America"
"277","M","Gatekeeper","North America"
"278","M","Gatekeeper","North America"
"279","M","Gatekeeper","North America"
"280","M","Gatekeeper","North America"
"281","M","Gatekeeper","North America"
"282","M","Gatekeeper","North America"
"283","M","Gatekeeper","North America"
"284","F","Gatekeeper","North America"
"285","M","Gatekeeper","North America"
"286","M","Gatekeeper","North America"
"287","M","Gatekeeper","North America"
"288","M","Gatekeeper","North America"
"289","M","Gatekeeper","North America"
"290","M","Gatekeeper","North America"
"291","M","Gatekeeper","North America"
"292","M","Gatekeeper","North America"
"293","F","Gatekeeper","North America"
"294","F","Gatekeeper","North America"
"295","M","Gatekeeper","North America"
"296","M","Gatekeeper","North America"
"297","M","Gatekeeper","North America"
"298","M","Gatekeeper","North America"
"299","M","Gatekeeper","North America"
"300","F","Gatekeeper","North America"
"301","M","Gatekeeper","North America"
"302","F","Gatekeeper","North America"
"303","F","Gatekeeper","North America"
"304","M","Gatekeeper","North America"
"305","F","Gatekeeper","North America"
"306","F","Gatekeeper","North America"
"307","M","Gatekeeper","North America"
"308","M","Gatekeeper","North America"
"309","M","Gatekeeper","North America"
"310","F","Gatekeeper","North America"
"311","M","Gatekeeper","North America"
"312","M","Gatekeeper","North America"
"313","M","Gatekeeper","Europe"
"314","M","Gatekeeper","North America"
"315","F","Gatekeeper","Europe"
"316","M","Gatekeeper","North America"
"317","M","Gatekeeper","North America"
"318","M","Gatekeeper","Europe"
"319","M","Gatekeeper","Europe"
"320","M","Gatekeeper","North America"
"321","M","Gatekeeper","North America"
"322","M","Gatekeeper","North America"
"323","M","Gatekeeper","North America"
"324","F","Gatekeeper","North America"
"325","F","Gatekeeper","North America"
"326","M","Gatekeeper","North America"
"327","M","Gatekeeper","North America"
"328","M","Gatekeeper","North America"
"329","M","Gatekeeper","Oceania"
"330","M","Gatekeeper","North America"
"331","M","Gatekeeper","Europe"
"332","M","Gatekeeper","Europe"
"333","M","Gatekeeper","Europe"
"334","M","Gatekeeper","Europe"
"335","M","Gatekeeper","Europe"
"336","M","Gatekeeper","Europe"
"337","F","Gatekeeper","Europe"
"338","M","Gatekeeper","Europe"
"339","F","Gatekeeper","Europe"
"340","M","Gatekeeper","Europe"
"341","M","Gatekeeper","Europe"
"342","F","Gatekeeper","Europe"
"343","M","Gatekeeper","Europe"
"344","F","Gatekeeper","Europe"
"345","UNK","Gatekeeper","Europe"
"346","F","Gatekeeper","Asia"
"347","M","Gatekeeper","Europe"
"348","M","Gatekeeper","Africa"
"349","M","Gatekeeper","Europe"
"350","M","Gatekeeper","Europe"
"351","M","Gatekeeper","Europe"
"352","M","Gatekeeper","Europe"
"353","F","Gatekeeper","Europe"
"354","M","Gatekeeper","Europe"
"355","M","Gatekeeper","Europe"
"356","M","Gatekeeper","Europe"
"357","F","Gatekeeper","North America"
"358","M","Gatekeeper","North America"
"359","F","Gatekeeper","North America"
"360","M","Gatekeeper","North America"
"361","F","Gatekeeper","North America"
"362","F","Gatekeeper","North America"
"363","F","Gatekeeper","North America"
"364","F","Gatekeeper","North America"
"365","M","Gatekeeper","North America"
"366","UNK","Gatekeeper","North America"
"367","M","Gatekeeper","North America"
"368","F","Gatekeeper","North America"
"369","M","Gatekeeper","North America"
